text_id,text,count_adults,count_children,count
71882262,"Интересует жильё-эконом, кондиционер только чтобы был. Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только одна женщина. Спасибо)",1,0,1
214627751,Здравствуйте! Интересует жилье недорого 1-10 сентября.2 взр и 2 детей-1 номер нужен.В ЛС.,2,2,4
79737918,Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет,2,1,3
245617104,Приезжаем 3 июля в Москву. Семейная пара. Ищем жильё для двоих до 1300р за сутки. На 5-6 дней. С предложением в лс. Всем спасибо.,2,0,2
204925103,"Ищем жилье на начало августа в Питере. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира.",2,4,6
143782331,Здравствуйте. Интересует жилье 3 местный номер (с маленьким ребенком).с 20.06 по 28.06 не далеко от моря.,2,1,3
98770155,"Снимем жильё с 1.09по 8.09 двухместный,олимпийская деревня или рядом ,предложения в лс.",2,0,2
414557480,Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей,2,2,4
447606306,"Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!",2,2,4
14205200,Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.,1,1,1
58833820,"Добрый вечер! Ищем жилье на 15 человек, с 3 сентября на 7 дней.",15,0,15
28995748,"Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля",3,3,6
39677362,"Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек, какие цены?",2,0,2
20755551,"Ищем жильё в Санкт-Петербурге,желательно улица Павлова,не далеко от моря (5 мин.) в период с 10.06 по 26.06. Взрослых 2,детей 2 по 7 лет.Рассмотрим все варианты",2,2,4
514036726,"Добрый день. Ищем жильё на июль месяц в Санкт-Петербурге. 5взрослых и 2 детей 5 и 12 лет. Интересует с бассейн, детская площадка,кухня для самостоятельного приготовления.в л.с. 10.07 - 20.07",5,2,7
